,date,total_btc_count,total_btc_favor_count,perc_btc_favor_tweets,total_btc_oppo_count,perc_btc_oppo_tweets,total_btc_favor_likes,total_btc_favor_retweets,total_btc_favor_quotes,total_btc_oppo_likes,total_btc_oppo_retweets,total_btc_oppo_quotes,avg_btc_sentiment_scores,avg_btc_favor_scores,avg_btc_oppo_scores,avg_btc_favor_likes,avg_btc_favor_retweets,avg_btc_favor_quotes,log_avg_btc_favor_likes,log_avg_btc_favor_retweets,log_avg_btc_favor_quotes,log_avg_btc_favor_scores,perc_btc_favor_tweets_diff,avg_btc_favor_likes_diff,avg_btc_favor_retweets_diff,avg_btc_favor_quotes_diff,avg_btc_oppo_likes,avg_btc_oppo_retweets,avg_btc_oppo_quotes,log_avg_btc_oppo_likes,log_avg_btc_oppo_retweets,log_avg_btc_oppo_scores,log_avg_btc_oppo_quotes,perc_btc_oppo_tweets_diff,avg_btc_oppo_likes_diff,avg_btc_oppo_retweets_diff,avg_btc_oppo_quotes_diff
0,2019-08-20,8757.0,6294.0,0.7187392942788626,2463.0,0.28126070572113737,14985.0,2975.0,344.0,4481.0,878.0,115.0,0.28834984583761564,0.40436220166723763,0.116012355829622,2.380838894184938,0.4726723863997458,0.05465522720050842,1.2181238722458443,0.3870787002514805,0.05321391465556775,0.33958325072838347,,,,,1.8193260251725538,0.3564758424685343,0.046691027202598455,1.0364978582196482,0.3048900442362186,0.10976193542974959,0.045633785378594784,,,,
1,2019-08-21,56710.0,41512.0,0.7320049374008112,15198.0,0.26799506259918887,68837.0,22383.0,3882.0,32026.0,6338.0,886.0,0.3456906577323223,0.4502719873038265,0.10458132957150415,1.65824339949894,0.5391934862208518,0.09351512815571401,0.9776655285210308,0.43125856899522813,0.08939739565783943,0.3717511162929475,0.013265643121948556,-0.7225954946859978,0.06652109982110604,0.03885990095520559,2.1072509540729043,0.41702855638899855,0.058297144361100145,1.133738397690795,0.34856211321472413,0.0994663759081934,0.05666114878743442,-0.0132656431219485,0.2879249289003505,0.06055271392046424,0.01160611715850169
2,2019-08-22,49989.0,36696.0,0.7340814979295445,13293.0,0.2659185020704555,66071.0,18208.0,3014.0,25466.0,4692.0,832.0,0.3051164796255177,0.4131946448218608,0.1080781651963432,1.8004959668628733,0.4961848702855897,0.08213429256594725,1.0297965325177656,0.4029184483114627,0.07893528784828922,0.34585284709704667,0.0020765605287332844,0.1422525673639332,-0.04300861593526212,-0.011380835589766769,1.9157451290152712,0.3529677273753103,0.06258933273151282,1.0701254060106813,0.30230049626212513,0.1026271320429114,0.0607086961470425,-0.0020765605287333955,-0.19150582505763314,-0.06406082901368826,0.004292188370412675
3,2019-08-23,52047.0,36303.0,0.6975041789152112,15744.0,0.30249582108478873,65084.0,18478.0,2659.0,33207.0,7565.0,927.0,0.2788724806424962,0.39898990912060256,0.12011742847810633,1.7927994931548357,0.5089937470732446,0.07324463542957882,1.0270444953258726,0.41144303602182136,0.0706864296749872,0.3357504827342448,-0.036577319014333254,-0.00769647370803761,0.01280887678765491,-0.008889657136368426,2.1091844512195124,0.4805005081300813,0.058879573170731704,1.1343604574671455,0.392380211774635,0.11343352666640787,0.057211342655996276,0.036577319014333254,0.1934393222042412,0.12753278075477104,-0.003709759560781116
4,2019-08-24,36312.0,26437.0,0.7280513328927076,9875.0,0.2719486671072924,45903.0,11297.0,1999.0,17302.0,3516.0,850.0,0.30274541473892924,0.40329056234853494,0.10054514760960563,1.7363165260808715,0.4273177743314294,0.07561372319098233,1.0066126824258501,0.35579700069131953,0.0728914039691349,0.3388198804252766,0.03054715397749641,-0.05648296707396416,-0.0816759727418152,0.0023690877614035155,1.7521012658227848,0.3560506329113924,0.08607594936708861,1.012364716568075,0.3045765287262435,0.09580564577679083,0.0825711540268951,-0.030547153977496355,-0.35708318539672756,-0.12444987521868894,0.027196376196356904
5,2019-08-25,33810.0,24229.0,0.7166223010943508,9581.0,0.28337769890564923,39453.0,9762.0,1438.0,19207.0,3588.0,458.0,0.28333563442768417,0.3950807157645667,0.11174508133688259,1.6283379421354576,0.4029056089809732,0.059350365264765365,0.9663516852528211,0.3385455208677307,0.057655857288938815,0.33295227436258984,-0.011429031798356859,-0.10797858394541393,-0.024412165350456205,-0.01626335792621697,2.004696795741572,0.37449118046132973,0.04780294332533139,1.1001766629768215,0.31808361205934677,0.10593092614602147,0.04669553704065324,0.011429031798356859,0.252595529918787,0.018440547549937347,-0.03827300604175722
6,2019-08-26,50741.0,38771.0,0.7640960958593642,11970.0,0.23590390414063578,65397.0,21261.0,3578.0,23790.0,4095.0,753.0,0.3348966811848406,0.4243634634713545,0.08946678228651386,1.6867504062314616,0.5483737845296742,0.09228547109953315,0.9883324359372017,0.43720520889453396,0.08827226357916704,0.35372502162308417,0.047473794765013455,0.05841246409600398,0.145468175548701,0.03293510583476779,1.987468671679198,0.34210526315789475,0.06290726817042606,1.0944264307354317,0.29423947299794,0.08568838598548101,0.06100785959068157,-0.047473794765013455,-0.01722812406237373,-0.032385917303434986,0.015104324845094677
7,2019-08-27,49801.0,35706.0,0.7169735547478966,14095.0,0.28302644525210335,72651.0,18401.0,2809.0,28940.0,5669.0,848.0,0.29803421015642256,0.39863870002610385,0.10060448986968133,2.0347000504116957,0.5153475606340671,0.07867025149834761,1.1101125894500723,0.4156448256099836,0.0757290339141591,0.3354994064511417,-0.04712254111146763,0.3479496441802341,-0.033026223895607165,-0.013615219601185544,2.053210358283079,0.4021993614757006,0.06016317843206811,1.116193613535362,0.3380419764174277,0.09585956510974271,0.05842283819318015,0.047122541111467575,0.06574168660388113,0.06009409831780588,-0.0027440897383579563
8,2019-08-28,52617.0,35879.0,0.6818898834977288,16738.0,0.3181101165022711,67834.0,16810.0,2321.0,29053.0,7703.0,1150.0,0.31384149799494465,0.3708434517361309,0.05700195374118631,1.8906324033557234,0.46851918949803506,0.06468965132807492,1.061475302876272,0.38425453898555206,0.06268334949037334,0.31542620860182785,-0.03508367125016776,-0.1440676470559723,-0.046828371136032,-0.013980600170272695,1.735750985780858,0.460210299916358,0.06870593858286533,1.0064059816492967,0.3785804663859321,0.055436555269728474,0.06644851336200634,0.03508367125016776,-0.3174593725022212,0.058010938440657356,0.008542760150797225
9,2019-08-29,49034.0,35824.0,0.7305950972794387,13210.0,0.2694049027205612,72891.0,17641.0,2370.0,27170.0,4712.0,720.0,0.29680502100583267,0.4070357629400008,0.11023074193416812,2.0346974095578383,0.49243523894595803,0.06615676641357748,1.1101117192306231,0.4004091743522209,0.06406037535682328,0.3414851956770279,0.04870521378170989,0.14406500620211493,0.02391604944792297,0.0014671150855025683,2.056775170325511,0.3566994700984103,0.05450416351249054,1.1173604943504576,0.3050548899277938,0.1045678693374683,0.053070669257480385,-0.04870521378170989,0.3210241845446531,-0.10351082981794768,-0.014201775070374796
