,Timestamp,price,date,log_avg_price
188,2019/11/11 23:00,8717.81,2019-11-11,9.073238039700527
189,2019/11/12 23:00,8801.52,2019-11-12,9.08279332310842
190,2019/11/13 23:00,8762.42,2019-11-13,9.078341518698812
191,2019/11/14 23:00,8632.32,2019-11-14,9.063384414616783
192,2019/11/15 23:00,8457.69,2019-11-15,9.04294959427464
193,2019/11/16 23:00,8482.7,2019-11-16,9.045901954380444
194,2019/11/17 23:00,8503.93,2019-11-17,9.048401274343417
195,2019/11/18 23:00,8175.99,2019-11-18,9.00907939121883
196,2019/11/19 23:00,8120.8,2019-11-19,9.002307083466325
197,2019/11/20 23:00,8081.81,2019-11-20,8.997494863333607
198,2019/11/21 23:00,7617.07,2019-11-21,8.938278335759788
199,2019/11/22 23:00,7286.35,2019-11-22,8.893895247256516
200,2019/11/23 23:00,7324.03,2019-11-23,8.899052529440022
201,2019/11/24 23:00,6907.4,2019-11-24,8.840493341469765
202,2019/11/25 23:00,7130.25,2019-11-25,8.872241813610385
203,2019/11/26 23:00,7163.63,2019-11-26,8.876911699012627
204,2019/11/27 23:00,7523.83,2019-11-27,8.925963497999762
205,2019/11/28 23:00,7431.0,2019-11-28,8.913550280493675
206,2019/11/29 23:00,7757.47,2019-11-29,8.956540428789248
207,2019/11/30 23:00,7557.72,2019-11-30,8.930457142669344
